RA,DEC,Z,PLATEIFU,LOG_MASS,GZ2_CLASS,ELLIP,LOG_OI_HA_CEN_2.5_ARCSEC,LOG_OIII_HB_CEN_2.5_ARCSEC,LOG_NII_HA_CEN_2.5_ARCSEC,LOG_SII_HA_CEN_2.5_ARCSEC,EDGE_ON_FRAC,FACE_ON_FRAC,OIII_LUM,LOGSFRSED,LOGSFRSEDERR,GLOBAL_AV,GLOBAL_AV_ERR,AV_MEAN_CEN,AV_MEAN_OUTER,AV_MEAN_CEN_ERR,AV_MEAN_OUTER_ERR,SF_AV,LINER_AV,COMP_AV,AGN_AV,SEYFERT_AV,SF_ERR,LINER_ERR,COMP_ERR,AGN_ERR,SEYFERT_ERR,DN_SF,DN_LINER,DN_COMP,DN_AGN,DN_SEYFERT,EWHA_MEAN_CEN,EWHA_MEAN_OUTER,EWHA_MEAN_CEN_ERR,EWHA_MEAN_OUTER_ERR,SEYFERT_CEN,LINER_CEN,SEYFERT_OUTER,LINER_OUTER,OIII_MEAN_CEN,OIII_MEAN_OUTER,OIII_MEAN_CEN_ERR,OIII_MEAN_OUTER_ERR,DUST_OIII_MEAN_CEN,DUST_OIII_MEAN_OUTER,DUST_OIII_MEAN_CEN_ERR,DUST_OIII_MEAN_OUTER_ERR,DN_MEAN_CEN,DN_MEAN_OUTER,DN_MEAN_CEN_ERR,DN_MEAN_OUTER_ERR,OIII_OII_MEAN_CEN,OIII_OII_MEAN_OUTER,OIII_OII_MEAN_CEN_ERR,OIII_OII_MEAN_OUTER_ERR,OIII_HB_MEAN_CEN,OIII_HB_MEAN_OUTER,OIII_HB_MEAN_CEN_ERR,OIII_HB_MEAN_OUTER_ERR,NII_HA_MEAN_CEN,NII_HA_MEAN_OUTER,NII_HA_MEAN_CEN_ERR,NII_HA_MEAN_OUTER_ERR,SII_HA_MEAN_CEN,SII_HA_MEAN_OUTER,SII_HA_MEAN_CEN_ERR,SII_HA_MEAN_OUTER_ERR,OI_HA_MEAN_CEN,OI_HA_MEAN_OUTER,OI_HA_MEAN_CEN_ERR,OI_HA_MEAN_OUTER_ERR,VLAF_FLUX,VLAF_POWER,VLAF_CHECK,VLASS_FLUX,VLASS_FLUX_ERR,VLASS_POWER,VLASS_CHECK,LOFAR_FLUX,LOFAR_FLUX_ERR,LOFAR_POWER,LOFAR_CHECK,ANY RADIO
118.77453,40.0413,0.069,9182-12703,11.207,SBb2m,0.725,-0.8741011,1.039787583,0.084751362,-0.256064934,0.026000001,0.973999977,5.579850101,0.247,0.133,-0.076609277,0.022158704,0.402537335,0.28349795,0.114455912,0.066084507,1.039585876,,0.489956082,0.280210278,0.321569014,0.037597735,,0.07495248,0.097685143,0.102730003,1.496294712,,1.57513775,1.856941642,1.871674677,3.5189788,2.852194514,0.10295673,0.088713255,TRUE,,TRUE,,5.559586084,4.88737653,0.055836089,0.062407785,5.370969888,4.197375909,0.031922312,0.038000951,1.9063032,1.774011875,0.003375049,0.008289501,1.053556427,0.787042052,0.014645616,0.044887515,0.9557942,0.779709966,0.014989521,0.023014694,0.07246225,-0.095643009,0.020063696,0.128438808,-0.582610898,-0.55075687,0.035302589,0.102371912,-1.404119668,-1.393857923,0.08075162,0.241960845,,,,,,,,,,,,
247.2171,42.81196,0.032,9029-12704,10.88,-9999,0.759,-1.434208325,0.309624792,0.0167737,-0.03448923,0.219745362,0.780254638,4.038027882,,,0.280054896,0.011684941,0.065309029,0.266801808,0.117794416,0.04601042,0.666394967,-0.171361916,0.832541307,0.241564376,,0.017056363,0.092799931,0.045927013,0.095198466,,1.439168779,1.831166701,1.561223804,1.834829571,,1.963677488,4.016984556,0.073928032,0.124093415,,TRUE,,TRUE,3.879612775,3.268845904,0.07047118,0.069573271,3.624306481,3.02326874,0.021719593,0.008734989,1.886047025,1.662795111,0.003463902,0.005220198,-0.02586872,0.074919887,0.010004146,0.029882278,0.165686213,0.23249202,0.014080311,0.028685078,0.094215685,-0.154490259,0.061329233,0.149050678,-0.279756926,-0.531551568,0.080609087,0.186467383,-1.257430965,-1.348876965,0.326340078,0.331635743,,,,,,,,,,,,
249.31845,44.418231,0.031,9026-9101,11.058,SBb2m,0.641,-1.634910695,0.85509129,0.169747132,-0.064864373,0,1,5.514472244,0.139,0.14,0.866042771,0.014502196,0.755688468,0.859766401,0.062197862,0.03064274,0.947645629,0.345773801,0.987117345,0.98932012,1.037963244,0.017359554,0.435283407,0.085571945,0.075295892,0.072943637,1.4061107,1.72519875,1.522682308,1.753706541,1.762993652,3.974257064,5.144100414,0.17977136,0.158015476,TRUE,,TRUE,,5.209841742,4.223872159,0.04995881,0.070709282,4.777966823,3.366098781,0.040843161,0.010027082,1.779230545,1.584217736,0.002464138,0.004381304,0.650113804,0.435560807,0.007924726,0.034862683,0.776919948,0.589588962,0.007000309,0.031609036,0.170395759,-0.198399765,0.038084806,0.188131575,-0.434228401,-0.6215984,0.131169661,0.19758658,-1.438663658,-1.602011965,0.205027192,0.352972693,2.46,4.81E+21,TRUE,0.793,0.191,1.55E+21,TRUE,8.107,0.578,1.58E+22,TRUE,TRUE
122.9729806,57.95189255,0.028,10492-6103,10.709,Sb,0.855,-1.782523171,0.755152156,-0.08607048,-0.404355413,0.437000006,0.563000023,5.457398055,,,0.460796475,0.022436346,2.528966949,0.442077861,0.040423084,0.060887414,,-0.768512993,,1.372527417,1.631815818,,0.152117465,,0.051245342,0.047871886,,1.5960184,,1.573184909,1.570772252,28.94104264,6.321618083,1.021880403,0.369461155,TRUE,,TRUE,,5.813263806,4.090968236,0.036761664,0.031955118,4.84943488,3.391517039,0.030481187,0.01519996,1.494305235,1.616219587,0.004699835,0.004897721,0.852048747,0.366053298,0.011827145,0.010710827,0.727294479,0.581861605,0.013449422,0.010471451,-0.012953068,0.033041549,0.072330133,0.104219985,-0.641201603,-0.499727344,0.052848606,0.129063115,-1.548444483,-1.284434998,0.119396024,0.153117811,12.52,2.01E+22,TRUE,6.109,0.227,9.83E+21,TRUE,31.112,0.28,5.01E+22,TRUE,TRUE
165.91011,45.17995,0.02,8993-9102,10.564,Sb2t(r),0.793,,0.885903326,-0.198830472,-0.11693413,0.024,0.976000011,4.840083967,-0.184,0.067,0.107952961,0.036531403,0.318624595,0.003471552,0.046792095,0.031800236,0.417739605,-0.707163577,0.407791,0.269910443,0.808797284,0.012561503,0.081730701,0.040676603,0.065871437,0.059485811,1.458260389,1.836688889,1.610659647,1.892347636,1.912862375,2.776740733,7.805988875,0.05122418,0.185258426,TRUE,,TRUE,,4.057552756,3.006952987,0.051809201,0.040057111,3.629579068,2.704715034,0.030248327,0.010062867,1.828191158,1.635426845,0.006091218,0.004303219,0.354325943,0.034809981,0.014047868,0.02455152,0.594842938,0.250906375,0.01223324,0.01338352,-0.173157229,-0.342850811,0.166267462,0.123372472,-0.418962812,-0.548364185,0.141327846,0.178388999,-1.513985526,-1.706832567,0.20303565,0.394242778,,,,,,,,,,,,
198.4916,45.70447,0.025,8318-3703,10.455,Sb?t,0.553,-1.516070363,0.72597196,-0.096652369,-0.267693933,0.045000002,0.954999983,4.768475164,-0.438,0.08,0.316785438,0.012285343,0.410014841,0.28570897,0.017680687,0.019990804,0.357147451,,0.446300908,0.210723053,0.210723053,0.01455792,,0.039003027,0.060856757,0.060856757,1.391859664,,1.509561818,1.75796027,1.75796027,8.860628865,10.7878947,0.332834062,0.20595818,TRUE,,TRUE,,4.604875652,,0.029683982,,3.773105576,2.997650318,0.031310632,0.009627449,1.539009622,1.408617857,0.009883997,0.00273683,0.565656932,,0.016008986,,0.571903835,,0.015484887,,-0.303014706,-0.398426065,0.114095434,0.052548549,-0.595802707,-0.377153254,0.164496223,1.241066136,-1.973363422,-1.813376199,0.180843132,0.23705731,,,,,,,,,,,,
119.19791,45.88785,0.056,8714-6102,11.277,-9999,0.652,-1.754616802,0.272981365,-0.127052698,-0.345807385,0,1,4.759109633,0.829,0.179,1.277280634,0.046136526,1.566188858,1.477819345,0.045424438,0.018385079,1.36373138,,1.435775113,1.626353065,1.769744048,0.015143932,,0.038397474,0.07335048,0.103783337,1.400727124,,1.486590352,1.725032143,1.725041429,5.931995946,9.047309314,0.343505162,0.225029997,TRUE,,TRUE,,5.239746854,,0.030899647,,4.527336606,3.803893893,0.024158452,0.015193093,1.676845405,1.476626961,0.009480501,0.003642995,0.291538251,,0.019851366,,0.264916426,,0.011311675,,-0.133208191,-0.372459542,0.129439104,0.080838021,-0.653857252,-0.827636344,0.109022297,0.08524969,-1.619679484,-1.964320703,0.183034262,0.1916608,,,,,,,,,,,,
155.88554,46.05776,0.026,8452-1901,9.98,Er,0.495,-1.242760537,0.905938866,-0.159402921,-0.189631366,0,1,4.789912239,-0.418,0.248,-0.550750108,0.077654106,-0.036346551,-1.305208659,0.051705822,0.189259798,,,,0.085244616,0.206196169,,,,0.068682395,0.048274497,,,,1.5630025,1.560649143,3.83068887,2.194989474,0.098773937,0.048457749,TRUE,,TRUE,,4.308781008,3.325418126,0.044445155,0.406579211,3.99899222,3.039017272,0.031921729,0.015748778,1.576618418,1.692439602,0.004144012,0.008027733,0.519555716,0.11617039,0.009449639,0.049619928,0.83740885,0.61800826,0.008218493,0.134064733,-0.119050018,-0.098879287,0.077204042,0.156397241,-0.410835588,-0.25437053,0.114595795,0.178371043,-1.441688232,-1.094738866,0.241585461,0.154181072,,,,,,,,,,,,
173.91122,47.51548,0.046,8945-3703,10.635,Ei,0.691,-1.462414741,0.370357732,0.003686226,-0.189702045,0,1,4.600157386,-0.255,0.254,0.189138105,0.038210436,1.544598036,0.605842196,0.041891886,0.078541203,,0.359725706,1.434596284,1.379024883,1.615602125,,0.228670451,0.159236976,0.067662901,0.048809887,,1.548812857,1.571869412,1.595152525,1.603795333,3.479875246,4.183397206,0.06184648,0.120337355,TRUE,,TRUE,,4.932146629,4.115126259,0.024287243,0.065900547,4.285700096,3.382748885,0.025291936,0.017201198,1.614671148,1.522907147,0.003189788,0.004252888,0.217675088,0.051760794,0.00807235,0.019799187,0.408658913,0.289579089,0.007618711,0.014564376,-0.02683597,-0.109753285,0.048016848,0.156999506,-0.502400051,-0.585616363,0.148207429,0.156864734,-1.553364237,-1.426194001,0.135320665,0.289938253,,,,,,,,,,,,
124.0641,57.530548,0.027,10492-12702,10.542,SBb2m,0.668,-1.50836,0.531054928,-0.106878053,-0.239219864,0,1,4.893579826,-0.074,0.172,-0.186778842,0.025310819,0.706775241,0.535046218,0.019677461,0.033659997,0.638847778,,0.692300919,0.817829475,0.819102533,0.01326719,,0.02733307,0.04994311,0.045181391,1.353632327,,1.430058158,1.530863803,1.532870149,11.01210385,15.24619183,0.186587805,0.342810098,TRUE,,TRUE,,4.786008051,3.945468474,0.042072985,0.030018228,4.061270321,2.980216523,0.033392405,0.010198491,1.48555528,1.430341842,0.004102637,0.00467934,0.35667272,,0.008290935,--,0.431505441,0.452276673,0.010564177,0.033438998,-0.204848991,-0.338746283,0.098016253,0.078370542,-0.583615686,-0.62789861,0.059933939,0.127384,-1.626463738,-1.712984647,0.170199965,0.312475922,,,,,,,,4.212,0.273,6.32E+21,TRUE,TRUE
