RA,DEC,PLATEIFU,LOG_MASS,Z,GZ2_CLASS,ELLIP,LOG_OI_HA_CEN_2.5_ARCSEC,LOG_OIII_HB_CEN_2.5_ARCSEC,LOG_NII_HA_CEN_2.5_ARCSEC,LOG_SII_HA_CEN_2.5_ARCSEC,EDGE_ON,FACE_ON,OIII_LUM,LOGSFRSED,LOGSFRSEDERR,GLOBAL_AV,GLOBAL_AV_ERR,AV_MEAN_CEN,AV_MEAN_OUTER,AV_MEAN_CEN_ERR,AV_MEAN_OUTER_ERR,SF_AV,LINER_AV,COMP_AV,AGN_AV,SEYFERT_AV,SF_ERR,LINER_ERR,COMP_ERR,AGN_ERR,SEYFERT_ERR,EWHA_MEAN_CEN,EWHA_MEAN_OUTER,EWHA_MEAN_CEN_ERR,EWHA_MEAN_OUTER_ERR,SEYFERT_CEN,LINER_CEN,SEYFERT_OUTER,LINER_OUTER,OIII_MEAN_CEN,OIII_MEAN_OUTER,OIII_MEAN_CEN_ERR,OIII_MEAN_OUTER_ERR,DUST_OIII_MEAN_CEN,DUST_OIII_MEAN_OUTER,DUST_OIII_MEAN_CEN_ERR,DUST_OIII_MEAN_OUTER_ERR,DN_MEAN_CEN,DN_MEAN_OUTER,DN_MEAN_CEN_ERR,DN_MEAN_OUTER_ERR,OIII_OII_MEAN_CEN,OIII_OII_MEAN_OUTER,OIII_OII_MEAN_CEN_ERR,OIII_OII_MEAN_OUTER_ERR,OIII_HB_MEAN_CEN,OIII_HB_MEAN_OUTER,OIII_HB_MEAN_CEN_ERR,OIII_HB_MEAN_OUTER_ERR,NII_HA_MEAN_CEN,NII_HA_MEAN_OUTER,NII_HA_MEAN_CEN_ERR,NII_HA_MEAN_OUTER_ERR,SII_HA_MEAN_CEN,SII_HA_MEAN_OUTER,SII_HA_MEAN_CEN_ERR,SII_HA_MEAN_OUTER_ERR,OI_HA_MEAN_CEN,OI_HA_MEAN_OUTER,OI_HA_MEAN_CEN_ERR,OI_HA_MEAN_OUTER_ERR
186.3204763,49.95780886,11833-6102,10.74939823,0.04543451,Sb?t(r),0.823738303,-1.842721372,-0.366546301,-0.338563012,-0.420221712,0.03,0.97,4.301503851,0.04,0.08,0.396251201,0.02016326,1.373873768,0.84921621,0.198279586,0.380362902,0.757329684,,1.042995057,,,0.015058085,,0.063246429,,,11.42903164,21.62530673,0.418874617,0.333104402,,,,,4.475519898,4.075736904,0.017472728,0.012557775,3.932792584,3.724279132,0.015139896,0.00846844,1.498504262,1.332076346,0.052852022,0.061083051,-0.15870737,-0.240377774,0.011995788,0.004233397,-0.373068127,-0.308064911,0.010669756,0.006443369,-0.321576036,-0.389287088,0.032694302,0.027484548,-0.691472786,-0.689484934,0.039939633,0.045567736,-1.993291497,-1.957214514,0.147045228,0.129307942
196.3683116,53.88007228,11955-12704,11.32557541,0.09206022,SBc2m,0.488773091,-0.881015839,0.239928101,0.091742253,-0.036988112,0,1,4.562116771,-0.23,0.245,-0.218713161,0.032599034,0.276792213,0.066853555,0.862294474,1.158813603,,0.349808851,,0.37133848,,,0.123123192,,0.119499422,,2.177657692,2.145738095,0.051948012,0.0486802,,TRUE,,TRUE,4.677325455,4.268871346,0.092403981,0.047117189,4.534550993,4.202632274,0.016209569,0.016422848,2.014915385,1.940613095,0.022328023,0.053893727,-0.052614747,-0.049919658,0.012078291,0.011785535,0.134963434,0.111433586,0.02266567,0.013762029,0.105018599,0.046815111,0.027290837,0.063309493,-0.267489998,-0.272707444,0.055193756,0.137049139,-0.848315596,-1.097465352,0.172860728,0.246836396
262.4837765,53.47736596,9196-9102,10.83923724,0.0524203,Ei,0.594140877,-1.290212911,0.30145737,-0.284096429,-0.348730651,0,1,3.741733056,-0.076,0.271,-1.074368823,0.050123665,-1.198603449,-1.087820242,0.879501902,1.247551152,,-0.993131866,,-0.970246285,,,0.177343247,,0.174471202,,0.801227689,2.674925488,0.030073203,0.068996551,,TRUE,,TRUE,3.499407537,3.026559784,0.051709289,0.0345981,3.894504393,3.392605662,0.019639402,0.014519494,1.871439778,1.682970583,0.034641853,0.078789675,0.115746862,-0.17986388,0.019875399,0.01524039,0.261324494,-0.097492273,0.018113694,0.016241487,-0.005753199,-0.268909301,0.126225962,0.10942855,-0.310853837,-0.386871951,0.171477749,0.095025895,-0.91343957,-1.080314092,0.308321167,0.240190487
237.0247292,27.96236468,9888-3703,11.25149648,0.078283,Er,0.432937377,-0.35637007,0.187689349,0.199515376,0.075312126,0,0,2.205671522,-0.714,0.834,-6.143592832,0.031234612,-5.983480238,-6.281967679,0.669223603,1.437952885,,,,,,,,,,,0.658651905,0.498504169,0.013393767,0.014779977,,TRUE,,TRUE,2.176978731,1.668398352,0.074015018,0.075423012,4.327782053,3.839486597,0.05696676,0.033981242,2.027241905,1.980451207,0.016759674,0.035737955,0.401582667,0.124141657,0.03574234,0.058797183,-0.411951698,-0.266536188,0.052114174,0.029089446,0.117538763,0.096413452,0.069614504,0.237600877,-0.279763596,-0.177971991,0.113225214,0.133758558,-0.480715187,-0.429176553,0.104662079,0.199123324
139.6783108,33.94306354,10504-1901,10.01066939,0.022966,Ei,0.593574562,,,,,0,1,0.80705052,-1.889,0.599,-5.84272785,0.135036592,-5.729021647,-7.586222961,2.136333016,0.680228503,,,,,,,,,,,0.357342769,0.808656105,0.032942617,0.140284446,,,,,0.776417302,-0.710602916,0.135694366,,2.741292483,2.411551439,0.039894984,0.053364019,1.946139005,2.000171571,0.074942201,0.177386462,,,,,-0.299073871,-0.583482541,0.044269386,,-0.209587043,,0.230984381,,0.09548002,,0.245028614,,-0.365896778,-0.655921378,0.309341017,0.227438721
255.1497158,25.15985964,11977-6104,11.42476707,0.11430611,Er(m),0.514352871,-0.49363144,-0.118059861,0.146962392,-0.067984296,0,1,4.324279534,-1.426,0.575,-0.957396993,0.048050725,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
121.9882923,34.22732717,10214-1902,9.971614187,0.0217766,Er,0.378593625,-1.420849582,-0.255968181,-0.134362092,-0.444490847,0,1,3.864812726,-0.997,0.038,0.199443065,0.038949966,0.757252097,-1.558037446,1.102071301,1.688873085,,0.079015117,1.224989882,-0.005185934,,,0.456707333,0.04000388,0.404383491,,4.352984315,3.648011812,0.119495807,0.132843993,,TRUE,,TRUE,3.291107385,2.018358704,0.043800678,0.08490313,2.952187744,2.483627006,0.024653213,0.017381221,1.657304315,1.668589185,0.056807102,0.152704926,-0.082968592,-0.188353431,0.009901768,0.033580205,-0.026008096,-0.053466228,0.012151052,0.035578966,-0.079572236,-0.097600863,0.047906488,0.128292874,-0.595534632,-0.276814201,0.183898806,0.194130634,-1.602872441,-0.883334135,0.318362859,0.27277168
118.2794207,39.74436851,9182-12702,10.9460699,0.0279902,Sen,0.942625505,-2.043333258,-0.492445475,-0.434865544,-0.53840167,0.82,0.18,3.972062194,0.189,0.074,1.130557386,0.029001968,2.006863053,1.572512906,0.376989322,1.099067211,1.824537527,,1.861351502,,,0.013803919,,0.053062133,,,18.46256959,17.00808437,1.357400916,0.444405681,,,,,4.250374815,3.794196614,0.009474753,0.018406973,3.476884466,3.093083377,0.017134759,0.012036745,1.484267448,1.409016833,0.108127129,0.130817064,-0.180483582,-0.242860989,0.008107062,0.004961489,-0.415096002,-0.291748101,0.010806225,0.010029353,-0.414545749,-0.351527502,0.057520867,0.13580565,-0.757480562,-0.588871073,0.078557908,0.208417519,-2.150720218,-1.908306255,0.184519687,0.435868239
117.76574,17.96273,10218-12702,10.45049234,0.0283086,Sc?t,0.417884853,-1.990160546,-0.622850145,-0.477796845,-0.682312648,0.06,0.94,3.55863494,,,0.45670741,0.004912102,1.087526977,0.624918939,0.213442345,0.446323574,0.56103219,,,,,0.012688028,,,,,14.56887145,17.03960065,0.329259094,0.335654699,,,,,3.474231365,3.129360442,0.02189653,0.009321067,3.034486097,2.861662061,0.018975509,0.0075459,1.392776966,1.349899657,0.036002006,0.056283707,-0.213408413,-0.380720368,0.013922518,0.005967421,-0.579156739,-0.473200639,0.008840347,0.004942605,-0.455350765,-0.482458247,0.026295284,0.050449544,-0.79888435,-0.639639634,0.080432925,0.08114096,-2.019968822,-1.799128851,0.222136759,0.230883471
130.3972442,30.10428799,10502-12704,10.78683914,0.0492533,Ser,0.936275706,-0.922627763,-0.078706577,-0.215021556,-0.264185569,0.97,0.03,4.084792951,0.062,0.073,0.166222967,0.029972309,0.727474277,0.459237696,0.570688197,1.574915987,0.866606534,,1.162338389,,,0.053403289,,0.049048512,,,3.520742653,6.607837073,0.097646132,0.173922203,,,TRUE,,4.127900338,3.866665558,0.039749342,0.035761645,3.820824894,3.47486977,0.02142698,0.017864268,1.729584082,1.638059627,0.038152478,0.255485865,-0.026835876,-0.110666232,0.015541108,0.012031505,-0.015285627,-0.064575031,0.011042337,0.01500021,-0.20783833,-0.288433881,0.051841907,0.108263521,-0.49878397,-0.578232988,0.068826087,0.117741043,-1.532153806,-1.537008579,0.338148095,0.346922306
177.0245707,54.64627644,10510-12701,11.39350558,0.0598734,SBb,0.475837895,,,,,0.09,0.9,2.67513101,,,-4.946683955,0.064505563,-8.538926556,-6.542050874,2.640095244,3.43749686,,,,,,,,,,,0.028837391,0.555620909,0.109947143,0.051775821,,,,,1.389512331,1.478287389,0.218379445,0.2293215,4.388217802,3.844324089,0.038401697,0.028068569,2.042603243,2.012048641,0.030707726,0.050072301,0.628077156,0.387620698,0.134123704,0.09840537,-0.265616826,-0.213329315,0.032913846,0.030798517,0.304691636,-0.103899726,0.389192083,0.39846367,,0.127163772,,0.3547634,-0.350686351,-0.288995136,0.297880353,0.360497728
188.6017465,50.58200521,11832-12702,10.5062856,0.047035884,Sc?t,0.731664423,,,-0.300298566,,0.06,0.94,3.009125511,0.2,0.156,-0.399425679,0.016840551,-0.154566715,0.493749539,0.54260085,0.620454672,0.135660927,,,,,0.032108468,,,,,3.720146491,8.986265068,0.103642229,0.173268132,,,,,3.101760044,3.300571589,0.023800215,0.014349099,3.136806283,3.093828752,0.013906677,0.008925461,1.52875614,1.443469247,0.047974514,0.053038697,-0.14642657,-0.311494829,0.040361565,0.014981512,-0.381516338,-0.45662426,0.012251297,0.01316855,-0.332072453,-0.418928778,0.054847703,0.062731957,-0.637407219,-0.643407607,0.075102028,0.069581144,-1.152404953,-1.607109562,0.230029842,0.231070486
193.7952695,29.57825127,9874-3702,10.57909039,0.0248782,Ei,0.672127972,,,,,0,1,1.770592886,-2.195,0.687,-4.754288778,0.174638179,-5.130156299,-1.277514216,2.959408508,2.722585707,,,,,,,,,,,0.24240637,-0.3105309,0.028062949,0.095367664,,,,,1.273233726,,0.157534464,,3.075956485,2.788287954,0.030142421,0.024835143,1.935994378,2.052854823,0.045258156,0.20002941,0.228397944,-0.016020041,0.080987452,0.07431772,-0.186781834,-0.005691878,0.029518645,0.03121017,-0.196116995,0.206811906,0.566272952,0,0.353715833,,0,,-0.321268099,-0.306679785,0.343202875,0.427297735
178.8494341,53.89950451,10510-6102,11.40205847,0.0604617,Ei,0.596734155,,,,,0.33,0.67,2.584715176,,,-5.534996482,0.083057536,-7.685152436,-5.153140981,1.419064513,3.13686444,,,,,,,,,,,0.194434687,0.312150442,0.009839844,0.011647082,,,,,1.56441175,2.047695611,0.102629098,0.174604232,4.291060998,3.744290835,0.028111991,0.022706449,1.955238649,1.87719,0.014545197,0.04313164,0.360971995,0.048609873,0.042372807,0.032713786,-0.080683686,-0.035148866,0.029651458,0.033538058,-0.102177912,-0.06334033,0.27501601,0.305365301,-0.197569175,-0.165726329,0.236076566,0.287187178,-0.434373986,-0.658311425,0.320104357,0.207006111
236.3955418,44.43604191,9035-6103,11.41831118,0.0581797,Er,0.769922004,,,,,0,1,1.937998714,-1.285,0.82,-6.719955809,0.052816465,-8.333684375,-8.676336707,2.8182954,2.136569267,,,,,,,,,,,0.018779645,-0.070237548,0.080386095,0.065249957,,,,,1.516201363,0.892128188,0.281316558,0.142950872,4.455236239,3.846067048,0.026679674,0.027561858,2.032426757,1.970420479,0.031335753,0.042431506,,0.232038824,,0.080471678,-0.354084161,-0.142034008,0.028064553,0.020493485,,-0.277029453,,0,,-0.076984099,,0.278240358,-0.227584351,0.0454324,0.339450404,0.279716235
220.4987227,47.01116324,9868-6104,11.59438137,0.125559,Er,0.606432463,-0.273814134,0.042398836,-0.269085051,-0.057872107,0,1,2.060336809,-1.313,0.687,-6.846038629,0.080092492,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
127.2731329,25.77262689,9508-12705,10.73111536,0.0278606,Sen,0.91077682,-1.599277521,-0.287991789,-0.362241409,-0.49291428,0.7,0.3,4.175292345,0.322,0.07,0.912513347,0.01597423,1.642887713,1.218122154,0.339598128,0.970720076,1.606814772,,1.680227019,,,0.019780189,,0.051519067,,,7.244574138,8.450799336,0.229262814,0.122589382,,,,,3.96691575,3.368859377,0.016050548,0.018267196,3.326116517,2.859753532,0.021610898,0.009197019,1.611524897,1.519819945,0.088755929,0.180913826,0.026459851,-0.204319146,0.02095117,0.008907935,-0.317261567,-0.239804963,0.012658798,0.009924662,-0.365589568,-0.358506449,0.026055832,0.090221176,-0.695190753,-0.589158076,0.047476258,0.161403208,-2.03845806,-1.693086568,0.132002434,0.431990692
