Table 1 
Spectral Classification Result for the 1 Jy ULIRG Sample


Name	Spectral Type					D_AGN	Morphology	log(L_IR/L_sun)	
IRAS FSC	[N II]	[S II]	[O I]	Adopt	VO87		Class		
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	
00091 - 0738	cp	H	H	cp	H:	0.1 (0.2)	b	12.19	
00188 - 0856	S2	H	S2	S2:	L	0.7(0.8)	e	12.33	
00397 - 1312	cp	H	H	cp	H	0.4 (0.3)	e	12.90	
00456 - 2904	cp	H	H	cp	H	0.2 (0.3)	a	12.12	
00482 - 2721	cp	H:	L	cp:	L:	0.8 (0.5)	b	12.00	
01004 - 2237	cp	S2	S2	S2:	H:	0.7 (0.4)	e	12.24	
01166 - 0844	H::	H	 ... 	H:	H:	0 (0.2)	b	12.03	
01199 - 2307	H:	H:	S2:	H:	H:	0.6 (1)	a	12.26	
01298 - 0744	cp	H	L	cp:	H:	0.6 (0.3)	d	12.27	
01355 - 1814	cp	H	H	cp	H	0.3 (0.3)	b	12.39	
01569 - 2939	cp	H	S2	cp:	H:	0.6 (0.4)	c	12.15	
01572+0009(MRK1014)	 ... 	 ... 	 ... 	S1	S1	1 (1)	d	12.53	
02411+0353:main	cp	H	H	cp	H	0.3 (0.3)	b	12.19	
02411+0353:E	H	H	H	H	H	0 (0.4)	b	 ... 	
02411+0353:W	H	H	H	H	H	0 (0.2)	b	 ... 	
03209 - 0806	cp	H	H:	cp	H:	0.4 (0.4)	d	12.191	
03250+1606	cp	H	S2	cp:	L	0.6 (0.5)	d	12.06	
Z03521+0028	S2::	S2:	S2:	S2	L	0.6 (0.6)	b	12.45	
04074 - 2801	L:	L	L	L	L	0.9 (0.6)	c	12.14	
04103 - 2838	S2	H	S2	S2:	L:	0.7 (0.6)	d	12.15	
05020 - 2941	cp::	H:	S2:	cp:	L:	0.4 (0.3)	c	12.28	
05024 - 1941	S2::	S2:	S2:	S2	S2	0.9 (1)	c	12.43	
05156 - 3024	S2	S2	S2:	S2	S2	1 (1)	d	12.20	
05189 - 2524	S2	S2	S2	S2	S2	1 (1)	d	12.07	
07599+6508	 ... 	 ... 	 ... 	S1	S1	1 (1)	d	12.46	
08201+2801	cp	H	H	cp	H	0.3 (0.3)	c	12.23	
08559+1053	S2	S2	S2	S2	S2	0.8 (0.8)	d	12.16	
08572+3915:NW	cp	S2	S2	S2:	L:	0.6 (0.4)	b	12.11	
08572+3915:SE	S2	S2	H	S2:	L:	0.5(0.7)	b	 ... 	
09039+0503	cp	H	L	cp:	L	0.5 (0.5)	c	12.07	
09116+0334	S2::	H	S2	S2:	L:	0.6 (0.6)	a	12.11	
09463+8141	S2::	L:	S2:	S2:	L	0.7 (0.5)	c	12.29	
09539+0857	S2	S2	L	S2:	L	0.8 (0.6)	e	12.03	
10091+4704	cp	L	L	L:	L:	0.5 (0.5)	c	12.67	
10190+1322	H	H	H	H	H	0 (0.2)	b	12.00	
10378+1108	S2	H:	S2	S2:	L	0.6 (0.6)	d	12.26	
10485 - 1447	S2::	H:	S2:	S2:	L:	0.8 (0.5)	a	12.17	
10494+4424	cp	H	L	cp:	L	0.6 (0.4)	d	12.13	
10594+3818	cp:	H:	H:	cp	H	0.3 (0.3)	b	12.24	
11028+3130	cp	H	L	cp:	L	0.5 (0.6)	c	12.32	
11095 - 0238	cp	H	L	cp:	L	0.6 (0.4)	d	12.20	
11119+3257	 ... 	 ... 	 ... 	S1	S1	1 (1)	d	12.58	
11130 - 2659	cp::	H:	L:	cp:	L	0.7 (0.5)	c	12.05	
11180+1623	cp:	H:	L:	cp:	L:	0.5 (0.4)	a	12.24	
11223 - 1244	S2	S2	S2	S2	S2	1 (1)	a	12.59	
11387+4116	S2	H	H	H:	H:	0.4 (0.5)	e	12.18	
11506+1331	cp	H	L	cp:	H:	0.6(0.3)	d	12.28	
11582+3020	cp	H	L	cp:	L	0.6 (0.5)	e	12.56	
Z11598 - 0112	 ... 	 ... 	 ... 	S1	S1	1 (1)	d	12.43	
12032+1707	S2	H	S2	S2:	L	0.7 (0.6)	d	12.57	
12072 - 0444	S2	S2	S2	S2	S2	0.9 (0.8)	d	12.35	
12112+0305	S2	S2	S2	S2	L	0.7 (0.5)	b	12.28	
12127 - 1412	S2::	H:	H:	H:	L:	0.4 (0.6)	a	12.10	
12265+0219(3C273)		 ... 	 ... 	S1	S1	1 (1)	d	12.73	
12359 - 0725:N	cp	H	L	cp:	L	0.7 (0.5)	a	12.11	
