num,RA,DEC,Z,plateifu,Broad,AGN Type,ellip,log_Mass,gz2_class,Edge on frac,Face on frac,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen
0,249.1357,39.0279,0.03,8550-12705,0,,0.74,11.26,Sc2t,0.02,0.98,-0.857562704,-0.205992451,0.611814815,0.091706517
1,137.8748,45.4683,0.027,8249-3704,0,,0.6,10.39,Ser,0.52,0.48,-1.596400954,-0.246557967,0.723302009,-0.161610451
2,171.1027,51.2349,0.027,8947-12704,0,,0.56,10.84,SBb2m,0,1,-1.334935533,0.020110262,0.384751639,0.112794306
3,168.9478,50.4016,0.047,8947-3701,0,,0.82,10.35,Ec,0,1,-1.677145338,-0.310379146,0.864874509,-0.429322696
4,178.3774,52.6895,0.072,8991-9102,0,,0.34,11.57,Er,0,1,-0.950986138,0.014687848,0.714557553,0.354455154
5,121.7799,36.2335,0.032,9485-12705,0,,0.78,11.03,Sb?t,0,1,-0.887693058,-0.464939527,0.898340337,-0.188722076
6,175.8178,55.2777,0.055,8995-3703,0,,0.76,10.85,Ser,0.82,0.18,-1.191070156,0.175412435,0.204077209,-0.126234923
7,212.956,52.8167,0.076,8591-6102,0,,0.41,11.57,Er,0,1,-0.889482788,-0.015772672,0.293148879,0.297464896
8,223.5629,49.4305,0.037,9865-9101,0,,0.48,11.2,Er,0,1,-1.193850051,0.08517133,0.20817867,0.318237749
9,136.72,41.4083,0.027,8247-6103,0,,0.64,11.05,Ei,0.2,0.8,-0.940454637,0.24009056,0.415127959,-0.047229148
10,117.8374,22.5042,0.076,9498-3701,0,,0.7,11.52,Ei,0,1,-1.303974278,0.136419722,0.573654126,0.217788411
11,234.8833,38.1637,0.065,8315-12702,0,,0.66,11.59,Ei,0,1,-1.005474953,-0.044477926,0.377509569,0.112609577
12,235.447,45.556,0.037,9035-9101,0,,0.83,11.25,Ser,0.86,0.14,-0.782703145,0.188944518,0.554555181,0.090738337
13,212.3761,41.1109,0.077,8334-3702,0,,0.36,11.37,SBc4m,0,1,-1.464806192,-0.135260397,0.766909533,0.002295731
14,163.2499,43.0486,0.148,8254-6101,0,,0.63,11.79,Ei,0.5,0.5,-0.719668379,0.10941206,0.319552658,0.143320325
16,242.8088,26.9234,0.032,9088-6103,0,,0.46,11.39,Er,0.5,0.5,-0.688551859,-0.124965424,0.285346769,0.028145289
17,241.5151,30.6502,0.059,9032-6102,0,,0.58,11.11,Ei,0.25,0.75,-0.709042522,0.062854778,0.902309207,0.159012312
19,46.5723,-0.14,0.11,9192-12705,0,,0.71,11.75,Er(o),0,1,-0.806453807,-0.343393904,0.836968188,-0.103836836
20,130.3201,27.6593,0.095,10498-1902,0,,0.58,11.33,SBb,0.25,0.75,-0.955816527,0.297149242,0.62128693,0.069306205
21,130.1509,27.8765,0.097,10498-3702,0,,0.45,11.44,Sc,0,1,-0.897142788,0.237125784,0.129538461,0.092799704
22,228.0232,30.8398,0.09,9045-3701,0,,0.63,11.58,Sc,0.02,0.98,-1.061818148,0.133744608,0.421213381,0.184592857
23,241.9447,25.5375,0.041,9091-3704,0,,0.38,10.58,Er,0,1,-1.239424158,-0.284875691,0.872821096,-0.524667774
24,116.2802,46.0724,0.031,8134-9102,0,,0.84,11.07,Sb2l(r),0.07,0.93,-1.573856396,0.250339316,0.605121733,0.075567443
25,125.3883,55.152,0.08,10494-12704,0,,0.72,11.56,Sb(m),0.12,0.88,-1.000753693,0.128757632,0.153417085,-0.013658794
26,126.8788,54.9047,0.031,8723-9102,0,,0.63,11.21,Er,0.29,0.71,-1.121423703,-0.180856744,0.221609727,-0.002924444
27,46.3324,-0.9707,0.045,9193-12705,0,,0.89,11.37,Ser,1,0,-1.149734894,0.177926118,0.412016338,0.187096445
28,228.2371,30.3045,0.11,9045-12705,0,,0.66,11.63,Ei,0,1,-1.202752372,0.109626123,0.326851585,0.144898268
29,45.9546,-1.1037,0.014,9193-12701,0,,0.72,10.86,Ser(u),0.78,0.22,-1.563113596,-0.161560886,0.953474745,-0.312960994
30,239.0163,24.448,0.043,9885-12703,0,,0.71,11.41,Ei,0.33,0.67,-0.852736664,0.0519245,0.426943753,0.187083627
31,119.12,50.2879,0.134,8715-3701,0,,0.36,11.76,Er,0,1,-0.931169653,0.2361664,0.348302784,0.233209429
