RA,DEC,Z,plateifu,ellip,log_OIII_Hb_cen,log_NII_Ha_cen,log_SII_Ha_cen,log_Mass,gz2_class,r_band_abs_mag,Edge on frac,Face on frac,check,source num
185.4732,51.0425,0.031,11833-12702,0.62,-0.711927109,-0.432598048,-0.655978862,10.78,Sc2t,-20.4,0.03,0.97,TRUE,0
328.428,0.1399,0.028,12066-3703,0.88,-0.239704264,-0.378146616,-0.382765907,10.61,Ser,-20.13,0.87,0.13,TRUE,1
136.2283,28.3843,0.027,b'8987-3703                       ',0.69,-0.560076557,-0.376403247,-0.566397415,10.71,SBb2m,-20.85,0.07,0.93,TRUE,2
187.2524,53.7396,0.046,11956-12701,0.9,-0.64747683,-0.511166803,-0.580743349,10.39,Ec,-20.25,0.42,0.58,TRUE,3
141.3023,5.3517,0.076,10842-6104,0.34,-0.291233671,-0.251486178,,11.62,Er,-22.68,0,1,TRUE,4
116.6571,44.7905,0.031,8138-12704,0.72,-0.13760821,-0.237077685,-0.426195314,11.23,Sb?t,-21.62,0.06,0.94,TRUE,5
126.6469,28.2375,0.055,b'9510-6102                       ',0.84,-0.212593735,-0.291070204,-0.274506372,10.91,Ser,-21.25,0.95,0.05,TRUE,6
30.9144,0.2159,0.076,12079-6104,0.58,0.083234207,-0.359562602,-0.299745628,11.58,Er,-22.55,0,1,TRUE,7
257.5679,32.2401,0.036,7960-1902,0.43,0.049087699,-0.170928534,0.121539697,11.07,Er,-21.32,0.02,0.98,TRUE,8
143.8093,34.7317,0.027,b'8152-6104                       ',0.67,-0.208161168,-0.178032544,-0.705765558,11.06,Ei,-21.16,0.2,0.8,TRUE,9
115.1286,32.4407,0.077,8139-3704,0.74,-0.117794766,-0.097119603,-0.276968173,11.3,Ei,-22.3,0.18,0.82,TRUE,10
150.7827,0.0452,0.067,11836-3703,0.64,-0.023201775,-0.113497881,-0.49618566,11.33,Ei,-22.46,0.38,0.62,TRUE,11
249.823,20.4816,0.062,11978-12701,0.8,-0.909146152,-0.186202386,-0.63385717,11.06,SBc4m,-21.45,0.05,0.95,TRUE,13
118.307,28.8283,0.143,b'8146-6104                       ',0.71,0.087193297,-0.117513124,-0.044793685,11.64,Ei,-22.7,0.25,0.75,TRUE,14
237.1596,25.4042,0.033,b'9886-9102                       ',0.37,-0.169898533,-0.028286906,-0.062787846,11.29,Er,-21.58,0,1,TRUE,16
205.5408,35.9517,0.057,b'8446-3704                       ',0.72,-0.506115526,-0.379014696,-0.538500387,11.08,Ei,-21.47,0,1,TRUE,17
