,RA,DEC,Z,AGN_TYPE,plateifu,r_band_abs_mag,SDSS_HA_EW,log_SFR_Ha,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen,SDSS_HA_EW_ERR,OIII_5007_LUM_DERRED,Re_kpc,Re_arc,PA,ellip,log_Mass,gz2_class,Edge on frac,Face on frac
0,253.628,19.771,0.054,2,11981-3704,-22.08,18.72141,0.517372149685817,-1.52915329102165,-0.00676056785358768,0.923829097521004,0.0767436829510533,0.21695171,inf,7.52710914241546,7.296468,265.43121,0.741668991364798,11.37,Sb,0.35,0.65
1,169.5134,45.113,0.107,1,8466-3704,-23.19,39.972713,0.329307624979843,-1.53895151933698,-0.690178800842105,0.711684866745712,-0.0742282631111999,0.46044642,6.39372317213273e+44,7.64123190761021,3.94066,128.8291,0.551900454701751,11.46,Sc(o),0.1,0.9
2,120.0874,26.6135,0.027,2,8940-12702,-21.44,11.311038,0.593471468345131,-1.36793450070173,-0.033274538490559,1.11732399139047,-0.0248541489109406,0.15769081,6.834726614849177e+43,4.02159050763781,7.55112,204.822,0.678219912800413,11.09,SBb2m,0.0,1.0
3,129.3121,4.6959,0.047,2,9511-12704,-21.48,3.8813152,0.315813322123836,-1.32867170904824,-0.0481055984936428,1.00047684207145,0.184889050714175,0.10844554,2.979555936689288e+43,7.79493606077956,8.56007,269.481,0.429609019662064,11.11,Sb?t(r),0.06,0.94
4,127.1078,25.0146,0.029,2,9508-3704,-20.8,4.176823,-0.168519160132554,-1.75552153154606,-0.0707846138913096,1.05629408971046,0.189558551766922,0.12084319,1.103123378505832e+43,3.974169588056,6.99365,248.432,0.679986102339599,10.79,Sb2m,0.06,0.94
5,119.9207,50.84,0.055,2,8715-3702,-21.42,173.57597,1.35064588247152,-1.51870842831313,-0.198461397771938,1.07927920974866,0.0164517534960584,0.92883056,8.944303582310071e+42,2.6258067843051,2.50961,268.81,0.471601099082689,11.04,Sb?t,0.2,0.8
6,241.7174,27.9275,0.046,2,9090-3701,-21.28,14.682332,0.395399554512377,-1.33711365039278,-0.262719151539967,0.896726144179453,-0.159366423918182,0.19834995,8.552216051448204e+42,2.23832846431082,2.50117,141.3631,0.40193318156007,10.83,SBb2l,0.07,0.93
7,249.5573,40.1468,0.03,2,8588-12704,-20.58,6.5045767,0.313068117302677,-1.75573440644826,-0.117475199923552,0.745714647754031,-0.0140982781754995,0.14502826,8.533112959408128e+42,6.34772752737518,10.5516,254.055,0.926115941380452,10.99,Sb2t,0.18,0.82
8,214.0964,38.191,0.134,2,8337-1901,-22.68,17.245243,0.685483277884314,-1.32472284129245,-0.0895152979718528,0.820649255929345,-0.0610800541530659,0.32100928,8.408074178242195e+42,11.9822259535609,5.07135,219.458,0.743876594275556,11.31,SBb?t(r),0.0,1.0
9,249.3184,44.4182,0.031,2,9026-9101,-21.38,5.8033357,0.186037524421086,-1.6349106954865,-0.0648643733720923,0.855091289900546,0.169747131959805,0.12919885,8.101619748206084e+42,4.63913184342389,7.48254,108.6151,0.641027393857704,11.06,SBb2m,0.0,1.0
