_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p_S_,Fpeak,Fint,Rms,Maj,Min,PA,c1,NAME,RA,DEC,APP_MAG,APP_MAG_FLAG,REDSHIFT_FLAG,REDSHIFT,OBJECT_TYPE,LII,BII,POSITION_FLAG,RADIO_DETECT,FLUX_6_CM,REF_FLUX_6_CM,FLUX_20_CM,REF_FLUX_20_CM,BV_COLOR,UB_COLOR,ABS_MAG,REF_CHART,REF_APP_MAG,REF_REDSHIFT,BROAD_TYPE,CLASS,plate,ifudsgn,plateifu,mangaid,versdrp2,versdrp3,verscore,versutil,versprim,platetyp,srvymode,objra,objdec,ifuglon,ifuglat,ifura,ifudec,ebvgal,nexp,exptime,drp3qual,bluesn2,redsn2,harname,frlplug,cartid,designid,cenra,cendec,airmsmin,airmsmed,airmsmax,seemin,seemed,seemax,transmin,transmed,transmax,mjdmin,mjdmed,mjdmax,gfwhm,rfwhm,ifwhm,zfwhm,mngtarg1,mngtarg2,mngtarg3,catidnum,plttarg,manga_tileid,nsa_iauname,ifudesignsize,ifutargetsize,ifudesignwrongsize,z,zmin,zmax,szmin,szmax,ezmin,ezmax,probs,pweight,psweight,psrweight,sweight,srweight,eweight,esweight,esrweight,nsa_field,nsa_run,nsa_camcol,nsa_version,nsa_nsaid,nsa_nsaid_v1b,nsa_z,nsa_zdist,nsa_sersic_absmag,nsa_elpetro_absmag,nsa_elpetro_amivar,nsa_sersic_mass,nsa_elpetro_mass,nsa_elpetro_ba,nsa_elpetro_phi,nsa_extinction,nsa_elpetro_th50_r,nsa_petro_th50,nsa_petro_flux,nsa_petro_flux_ivar,nsa_elpetro_flux,nsa_elpetro_flux_ivar,nsa_sersic_ba,nsa_sersic_n,nsa_sersic_phi,nsa_sersic_th50,nsa_sersic_flux,nsa_sersic_flux_ivar
254.54204,62.415787,J165810.0+622456,FITS,16 58 10.089,+62 24 56.83,0.014,1.32,1.18,0.145,0.0,0.0,180.0,g,SDSS J16581+6224,254.5421,62.4156,18.36,V,,0.119,S2,92.3092,36.8441,O,Y,0.0,0,1.0,2530,0.8,0.41,-19.4,0,3,951,AGN,"  SEYFERT TYPE 2",7992,9102,7992-9102,1-22948,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,254.542083999,62.4156479613,92.3093118489,36.8442813932,254.54208,62.415648,0.0398913,9,8100.75,0,20.8587,42.5154,ma071,33,3,8404,255.14943,63.32446,1.1505,1.15187,1.18404,1.4715,1.56688,1.83405,0.767679,0.862141,0.894095,57187,57187,57194,2.57718,2.54064,2.51314,2.4908,2080,0,0,1,plateTargets-1.par,5802,J165810.10+622456.3,91,91,0,0.119399,0.0413056,0.0776284,0.11117,0.123745,0.0390917,0.082936,0.705682,-999.0,0.0249953,0.0265097,0.049339,0.0556098,-999.0,0.0219597,0.0231201,26,1339,3,v1_0_1,24530,-999,0.119399,0.12012,"(-17.7008, -18.3821, -20.0125, -21.4678, -22.2105, -22.4938, -22.8377)","(-17.9106, -18.6627, -20.0949, -21.4446, -22.126, -22.4453, -22.7257)","(6.06982, 247.662, 36.029, 2135.64, 2278.85, 2146.16, 746.761)",1.02353E11,8.41675E10,0.679327,42.3401,"(0.329182, 0.324814, 0.204696, 0.150614, 0.109238, 0.0828315, 0.0587286)",4.63331,4.04302,"(7.38702, 12.3018, 46.9741, 167.986, 363.963, 558.061, 682.193)","(0.149468, 3.10924, 0.0229089, 0.624672, 0.226826, 0.0747592, 0.00470476)","(7.37599, 13.4411, 43.8226, 165.489, 368.464, 556.144, 749.089)","(0.132807, 2.67663, 0.0243052, 0.63073, 0.223675, 0.0577914, 0.00478412)",0.406142,3.01267,37.7958,5.3353,"(6.2865, 10.1992, 40.0882, 161.486, 403.158, 568.083, 840.888)","(0.470764, 3.71649, 0.410038, 1.7379, 0.551387, 0.248371, 0.0217428)"
262.99664,59.97167,J173159.1+595818,FITS,17 31 59.193,+59 58 18.01,0.014,1.31,1.0,0.153,3.0,0.0,38.0,g,SDSS J17319+5958,262.9967,59.9717,17.31,V,,0.029,S1,88.7492,33.1002,O,Y,0.0,0,1.0,2530,0.71,0.53,-17.4,0,3,951,AGN,"  SEYFERT TYPE 1",8611,3704,8611-3704,1-25725,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,262.996722074,59.9716380852,88.7491537463,33.1003774794,262.99672,59.971638,0.0337927,9,8100.59,66,16.9448,38.6999,ma034-ma148,37,1,9043,260.8042,60.988289,1.14648,1.19687,1.2342,1.35278,1.4551,1.84917,0.668739,0.823344,0.847283,57171,57269,57271,2.63356,2.5588,2.55207,2.55557,4288,0,0,1,plateTargets-1.par,7789,J173159.20+595817.9,37,19,37,0.0291196,0.0221334,0.028931,0.0432357,0.0475137,0.0177648,0.0330018,0.67973,-999.0,-999.0,-999.0,-999.0,-999.0,0.641504,0.37896,0.399487,40,2574,5,v1_0_1,27514,-999,0.0291196,0.0298713,"(-14.6033, -15.2519, -17.5855, -19.2096, -20.1039, -20.515, -20.7845)","(-14.6097, -15.123, -17.3557, -18.8745, -19.6528, -20.0497, -20.3079)","(178.962, 348.057, 217.834, 2374.96, 2425.07, 2403.09, 981.755)",1.59046E10,1.05335E10,0.912612,151.67,"(0.281144, 0.277413, 0.174825, 0.128634, 0.0932964, 0.0707438, 0.0501582)",3.68768,3.64729,"(6.16923, 9.14458, 78.8193, 353.634, 787.687, 1182.38, 1485.54)","(7.67913, 10.997, 0.077458, 0.441161, 0.154765, 0.0516455, 0.00405132)","(6.58507, 9.89935, 79.5529, 353.642, 779.052, 1170.78, 1543.98)","(6.81705, 9.44877, 0.0890953, 0.447567, 0.157164, 0.0533143, 0.00417002)",0.877389,5.65233,158.334,7.33572,"(6.52749, 11.0079, 97.3665, 479.26, 1171.26, 1786.96, 2376.83)","(4.78375, 6.36317, 0.217932, 0.361292, 0.0968917, 0.0415464, 0.00846278)"
263.05063,59.941563,J173212.1+595629,FITS,17 32 12.151,+59 56 29.63,0.014,2.62,2.84,0.153,2.64,0.0,39.7,g,MCG +10.25.061,263.0508,59.9414,15.95,V,,0.028,S2,88.7118,33.0743,O,Y,0.0,0,3.0,2530,0.67,0.56,-18.8,1197,3,951,AGN,"  SEYFERT TYPE 2",8624,3702,8624-3702,1-23670,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,263.050842728,59.9415180544,88.711953472,33.074494134,263.05084,59.941518,0.034108,9,8100.66,0,21.6086,39.3502,ma081,27,4,9066,261.79694,59.190521,1.12424,1.1323,1.15256,1.25047,1.54098,1.89213,0.873102,0.893748,0.91301,57579,57579,57579,2.63765,2.64518,2.63979,2.61251,1024,0,0,1,plateTargets-1.par,7790,J173212.19+595629.4,37,37,0,0.0278673,0.0275197,0.0398603,0.0591804,0.064849,0.0275197,0.0398603,0.67973,0.460799,0.208323,0.223713,-999.0,-999.0,0.461331,0.208432,0.223839,40,2574,5,v1_0_1,25301,-999,0.0278673,0.0286191,"(-14.8038, -15.8789, -18.5934, -20.3145, -21.1282, -21.5332, -21.8637)","(-14.2689, -15.7111, -18.5374, -20.1826, -20.9431, -21.3378, -21.6164)","(133.027, 464.421, 384.053, 2493.09, 2495.72, 2495.37, 1106.0)",4.07554E10,3.44806E10,0.701119,168.625,"(0.273781, 0.270148, 0.170246, 0.125266, 0.090853, 0.0688911, 0.0488446)",4.22699,3.79636,"(4.42314, 16.3825, 265.699, 1322.29, 2854.26, 4302.54, 5686.87)","(8.26443, 7.60738, 0.125307, 0.5816, 0.200322, 0.0814394, 0.00770621)","(5.0308, 17.4677, 257.396, 1294.86, 2797.67, 4198.07, 5634.53)","(7.87144, 6.98361, 0.171399, 0.63424, 0.219659, 0.0900922, 0.00892035)",0.597545,3.09872,169.987,5.24912,"(8.3702, 21.0288, 267.713, 1459.64, 3290.24, 5007.66, 7031.87)","(4.07687, 4.28255, 0.372118, 0.278704, 0.0724199, 0.0307926, 0.00827941)"
233.96841,57.90265,J153552.4+575409,FITS,15 35 52.421,+57 54 09.54,0.014,5.11,5.32,0.146,1.15,1.05,179.9,g,MARK  290,233.9679,57.9025,15.27,V,,0.03,S1.5,91.4892,47.9536,O,Y,2.0,1199,5.0,2530,0.28,-0.74,-19.9,1453,3,268,AGN,SEYFERT TYPE 1.5,8553,1901,8553-1901,1-90242,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,233.968342684,57.9026365222,91.4891735137,47.9535133519,233.96834,57.902637,0.0144405,9,8100.59,0,25.7956,46.6068,ma132,29,6,8998,233.95041,56.6525,1.10476,1.13273,1.21096,1.22074,1.30387,1.49872,0.863621,0.87658,0.884562,57519,57519,57519,2.352,2.36079,2.35777,2.34745,4224,0,0,1,plateTargets-1.par,7784,J153552.40+575409.4,19,7,0,0.0302266,0.022648,0.0295259,0.0442306,0.0485472,0.0165791,0.0317959,0.67973,-999.0,-999.0,-999.0,-999.0,-999.0,0.704659,0.391089,0.414233,97,2206,4,v1_0_1,95528,-999,0.0302266,0.0307977,"(-19.7262, -19.5926, -20.4466, -20.4112, -20.6545, -20.7686, -20.807)","(-19.3468, -19.2303, -19.6621, -19.7967, -20.1072, -20.18, -20.2997)","(515.616, 582.835, 395.59, 2426.28, 2477.41, 2476.11, 1090.97)",1.0174E10,8.15675E9,0.897878,132.513,"(0.117057, 0.115503, 0.0727898, 0.053558, 0.0388447, 0.0294548, 0.0208838)",0.979135,1.08412,"(398.101, 325.933, 721.864, 917.406, 1169.36, 1367.39, 1573.05)","(0.0209292, 0.0956444, 0.0753841, 0.11442, 0.242772, 0.16734, 0.0258946)","(570.563, 509.547, 740.509, 902.569, 1165.28, 1340.1, 1506.25)","(0.0106683, 0.0392245, 0.0771408, 0.119068, 0.238001, 0.170067, 0.0312783)",0.914741,6.0,136.938,1.43741,"(806.497, 705.361, 1512.96, 1590.05, 1955.74, 2312.01, 2424.11)","(0.0052732, 0.0231597, 0.0261632, 0.0289899, 0.034875, 0.0254871, 0.0103064)"
262.09872,57.545135,J172823.6+573242,FITS,17 28 23.691,+57 32 42.49,0.014,4.83,11.99,0.146,6.98,6.17,95.0,g,SDSS J17283+5732,262.0975,57.5453,18.14,V,,0.028,S1,85.8637,33.6465,O,Y,0.0,0,11.0,483,0.46,-0.62,-16.8,0,3,951,AGN,"  SEYFERT TYPE 1",7990,3703,7990-3703,1-24357,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,262.09934807,57.5454136595,85.8638267737,33.6457090896,262.09935,57.545414,0.0385512,9,8100.72,0,22.208,48.4175,ma052,32,1,8401,262.13684,57.65287,1.10129,1.1247,1.19783,1.30012,1.49801,1.70836,0.830384,0.836008,0.841906,57168,57168,57168,2.47536,2.47556,2.47452,2.46528,1168,0,0,1,plateTargets-1.par,5807,J172823.84+573243.5,37,37,0,0.0285483,0.0233443,0.0304356,0.0456953,0.0500854,0.0213076,0.0582566,0.67973,1.25679,0.493291,0.534024,-999.0,-999.0,0.105318,0.178646,0.183721,46,3358,2,v1_0_1,26053,-999,0.0285483,0.029281,"(-18.8762, -19.1712, -19.6105, -20.0964, -20.3017, -20.3717, -20.4944)","(-18.6516, -18.9406, -19.4286, -20.0385, -20.282, -20.3555, -20.4435)","(293.602, 485.172, 393.32, 2483.79, 2478.66, 2475.73, 1046.42)",4.1133E9,4.77491E9,0.620406,87.919,"(0.321381, 0.317117, 0.199845, 0.147044, 0.106649, 0.0808686, 0.0573368)",4.6951,3.88427,"(248.266, 317.276, 569.446, 1124.98, 1422.26, 1657.51, 1814.99)","(0.0100406, 0.0247839, 0.081418, 0.339827, 0.158824, 0.102564, 0.00618979)","(273.171, 351.971, 572.929, 1141.85, 1440.91, 1674.33, 1859.18)","(0.00874718, 0.0206355, 0.0845764, 0.346329, 0.164848, 0.107256, 0.00612903)",0.555031,1.98261,86.9226,5.00264,"(336.259, 435.344, 683.225, 1212.17, 1477.88, 1695.16, 1943.86)","(0.00487527, 0.0102638, 0.0921922, 0.214484, 0.145127, 0.111642, 0.0154309)"
132.65387,57.359505,J085036.9+572134,FITS,08 50 36.929,+57 21 34.22,0.014,1.41,1.73,0.14,4.28,0.0,136.2,g,SDSS J08506+5721,132.6538,57.3594,17.0,V,,0.026,S2,159.6642,38.4983,O,Y,0.0,0,2.0,2530,0.72,0.47,-17.5,0,3,951,AGN,"  SEYFERT TYPE 2",10001,6102,10001-6102,1-48116,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,132.653991697,57.3596675436,159.663983455,38.4985094249,132.65399,57.359668,0.0652891,9,8100.81,0,20.0835,41.292,ma072,24,3,9114,134.41357,57.604214,1.10607,1.15442,1.2172,1.78219,1.85994,2.12685,0.898721,0.929654,0.937466,57372,57373,57373,2.69065,2.5987,2.58599,2.56349,1040,0,0,1,plateTargets-1.par,6013,J085036.94+572134.7,61,61,0,0.0261046,0.0247489,0.032747,0.0492015,0.0538377,0.0197941,0.0380494,0.67973,0.976066,0.39614,0.428074,-999.0,-999.0,0.412706,0.254915,0.267769,185,4204,1,v1_0_1,51184,-999,0.0261046,0.0264883,"(-15.8638, -16.5138, -18.2822, -19.6968, -20.5237, -20.9563, -21.2108)","(-16.1437, -16.653, -18.3624, -19.676, -20.3499, -20.7052, -20.937)","(339.251, 530.098, 288.282, 2473.08, 2483.38, 2465.26, 1029.35)",2.25883E10,1.86483E10,0.581075,65.8374,"(0.53023, 0.523194, 0.329715, 0.242601, 0.175954, 0.133421, 0.094597)",6.40899,5.29076,"(26.3186, 40.7346, 244.875, 881.089, 1805.69, 2629.81, 3327.23)","(1.20279, 2.45381, 0.0239618, 0.361149, 0.136549, 0.021476, 0.0014974)","(27.2445, 42.0516, 227.85, 867.136, 1772.02, 2604.95, 3411.18)","(1.17844, 2.32726, 0.0234371, 0.360028, 0.140255, 0.0308231, 0.00141707)",0.477778,2.35371,67.2581,8.06432,"(20.9193, 36.6754, 209.398, 878.45, 2054.47, 3251.14, 4331.76)","(1.32576, 2.09742, 0.270689, 0.60082, 0.170227, 0.0778868, 0.0116309)"
194.05927,56.87364,J125614.2+565225,FITS,12 56 14.222,+56 52 25.10,0.014,235.28,242.53,0.191,1.02,0.87,166.4,g,MARK  231,194.0592,56.8736,13.84,V,,0.041,S1.0,121.611,60.2423,O,Y,419.0,881,242.0,2530,0.84,0.15,-21.5,1530,2487,2141,AGN,"  SEYFERT TYPE 1",11863,3703,11863-3703,1-591055,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,194.059260749,56.8733849175,121.610921797,60.2426982885,194.05926,56.873385,0.00942818,12,10800.8,1073742144,27.5237,52.7759,ma140,32,6,12050,193.35774,55.720936,1.09543,1.09901,1.22085,1.27454,1.44565,1.69926,0.591722,0.840862,0.870898,58628,58628,58629,2.83243,2.71657,2.56405,2.4603,1040,0,0,1,plateTargets-1.par,7113,J125614.20+565224.9,37,37,0,0.042169236,0.039315764,0.07367514,0.10562569,0.11744394,0.030324614,0.12786108,0.67973006,0.059315648,0.029689461,0.031657346,-999.0,-999.0,0.010125604,0.013733399,0.014139982,122,3712,3,v1_0_1,629430,-999,0.042169236,0.042545535,"(-22.40413, -22.433567, -21.918798, -23.025852, -22.479044, -22.99094, -24.082424)","(-20.86197, -20.957542, -20.918016, -22.08086, -22.071442, -22.380882, -23.124214)","(0.0, 0.0, 397.78433, 2472.685, 2491.6016, 28.391512, 1104.0936)",1.0269154E11,5.6390476E10,0.41926813,35.86763,"(0.07791435, 0.07688051, 0.04844976, 0.035648867, 0.025855532, 0.019605467, 0.013900521)",5.2351956,0.8248073,"(0.0, 0.0, 692.3806, 2219.1917, 394.8643, 864.74335, 5900.364)","(0.0, 0.0, 0.16885693, 0.02530773, 0.40227902, 2.5340953E-4, 0.002666085)","(0.0, 0.0, 1187.3992, 3820.667, 3413.4707, 5305.8774, 10098.207)","(0.0, 0.0, 0.060042616, 0.018276343, 0.075040825, 1.2024943E-6, 0.0020209625)",0.9049845,4.9415073,177.6416,7.845054,"(0.0, 0.0, 3177.3447, 9567.887, 4938.8584, 9276.439, 24047.814)","(0.07820399, 0.07820399, 0.008916516, 0.0017563273, 0.007556216, 1.08763096E-7, 2.201023E-4)"
234.81158,56.670795,J153914.7+564014,FITS,15 39 14.782,+56 40 14.86,0.014,1.12,2.07,0.134,6.58,3.29,111.1,g,SDSS J15392+5640,234.8113,56.6708,18.23,V,,0.046,S2,89.5427,48.1301,O,Y,0.0,0,2.0,2530,0.7,0.52,-17.6,0,3,951,AGN,"  SEYFERT TYPE 2",8553,9101,8553-9101,1-91016,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,234.810980805,56.6708573626,89.5428079827,48.1303527334,234.81098,56.670857,0.010006,9,8100.59,0,25.7956,46.6068,ma155,26,6,8998,233.95041,56.6525,1.09379,1.11975,1.19642,1.22074,1.30387,1.49872,0.863621,0.87658,0.884562,57519,57519,57519,2.45346,2.44156,2.43819,2.42548,2304,0,0,1,plateTargets-1.par,7784,J153914.64+564015.0,91,91,0,0.046305,0.0218979,0.0286777,0.0428015,0.0470656,0.0197111,0.0294202,0.642512,-999.0,0.590015,0.646469,0.979483,1.14556,-999.0,0.516165,0.55886,335,1412,2,v1_0_1,96346,-999,0.046305,0.0468677,"(-15.7127, -16.2306, -17.4675, -18.9418, -19.7079, -20.0709, -20.3171)","(-15.9082, -16.376, -17.8254, -19.0571, -19.6865, -19.99, -20.252)","(292.189, 472.848, 119.779, 2126.18, 2349.75, 2376.51, 773.151)",1.01959E10,8.47162E9,0.497487,72.195,"(0.0841653, 0.0830485, 0.0523368, 0.0385089, 0.0279299, 0.0211784, 0.0150157)",4.10155,3.21047,"(9.5426, 13.8297, 56.9995, 179.879, 328.437, 474.16, 601.708)","(6.50766, 11.1252, 0.0359803, 0.61929, 0.36572, 0.183117, 0.00567877)","(10.3185, 15.287, 51.9604, 179.093, 327.698, 466.355, 598.346)","(6.07522, 9.79776, 0.0746523, 0.522599, 0.429188, 0.26077, 0.00836953)",0.335701,1.41848,71.5084,4.50052,"(8.74543, 13.2731, 38.29, 157.643, 338.215, 490.457, 630.504)","(6.07262, 9.76412, 0.168772, 2.18791, 0.826496, 0.574013, 0.0347986)"
206.17566,55.887,J134442.1+555313,FITS,13 44 42.158,+55 53 13.21,0.014,120.05,132.02,0.134,1.82,1.58,51.2,g,MARK  273,206.1754,55.8869,14.91,V,,0.037,S2,108.1061,59.6817,O,Y,103.0,881,132.0,2530,0.77,0.1,-20.3,1979,2487,457,AGN,"  SEYFERT TYPE 2",11013,6101,11013-6101,1-244377,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,206.175720284,55.8870930177,108.105878224,59.6816697609,206.17572,55.887093,0.0083513,9,8100.66,0,24.8358,48.6604,ma101,21,5,11654,207.54752,55.07288,1.08724,1.1072,1.14239,1.11851,1.18235,1.46097,0.779099,0.849722,0.870935,58581,58582,58582,2.38737,2.24748,2.22359,2.21803,1040,0,0,1,plateTargets-1.par,6402,J134442.16+555313.5,61,61,0,0.03733982,0.02825914,0.04230653,0.06251804,0.06858903,0.026993744,0.04273521,0.67973006,0.36949494,0.17143056,0.18366614,-999.0,-999.0,0.3367209,0.16402349,0.17519015,167,3712,4,v1_0_1,258733,-999,0.03733982,0.03774574,"(-16.980211, -17.8299, -19.314545, -20.596237, -21.260588, -21.669836, -21.916574)","(-16.939808, -17.797035, -19.358086, -20.568604, -21.159748, -21.47982, -21.760511)","(14.192444, 279.2638, 374.4291, 2485.6355, 2426.5232, 2488.9126, 1090.6879)",3.8196404E10,2.583624E10,0.55569756,5.1105347,"(0.069047086, 0.0681309, 0.042935796, 0.03159175, 0.022912972, 0.017374212, 0.012318534)",5.7046614,4.424213,"(36.42799, 80.278145, 404.90924, 1213.9252, 2017.8029, 2949.3281, 3817.5332)","(0.011608306, 0.08807406, 0.059744794, 0.2617667, 0.022050578, 0.072719656, 0.0045292377)","(38.442413, 86.79077, 335.7563, 1170.2325, 1979.2368, 2887.2458, 3734.5154)","(0.011584044, 0.07900441, 0.061247207, 0.37239715, 0.024844456, 0.07936203, 0.005015553)",0.385135,1.8715212,2.0091553,7.220251,"(42.088665, 89.24921, 333.13116, 1178.5709, 2222.9377, 3383.5515, 4316.8057)","(0.024346214, 0.06074275, 0.23071843, 0.51390684, 0.117604636, 0.07794894, 0.011462473)"
263.09866,55.41437,J173223.6+552451,FITS,17 32 23.676,+55 24 51.74,0.014,27.54,39.1,0.149,5.45,0.0,25.7,g,87GB 17314+5526,263.0992,55.4147,15.51,V,,0.064,S?,83.3083,33.1067,O,Y,32.0,883,39.0,2530,0.73,0.73,-21.0,0,2701,1482,AGN,"         SEYFERT",8626,6101,8626-6101,1-634789,v3_1_1,v3_1_1,v1_9_1,v5_5_36,v2_9,APOGEE-2&MaNGA,MaNGA dither,263.09890886,55.4146779223,83.3082075668,33.1069891317,263.09891,55.414678,0.041729,9,8100.61,0,21.4098,45.1209,ma089,21,4,9068,263.23642,56.784687,1.12105,1.1524,1.20252,1.14656,1.52701,2.16413,0.66974,0.806429,0.849714,57274,57277,57278,2.58754,2.55994,2.57269,2.57859,0,0,32768,1,plateTargets-1.par,7793,J173223.00+552454.9,61,-999,0,0.0618731,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,61,3358,2,v1_0_1,688009,-999,0.0618731,0.0625984,"(-14.2826, -16.0659, -19.3553, -21.2299, -22.0416, -22.43, -22.7275)","(-14.0365, -15.8205, -19.0696, -20.8511, -21.6705, -22.0825, -22.3199)","(0.0, 0.0, 108.379, 2286.31, 2391.6, 2422.99, 932.405)",9.67683E10,6.83514E10,0.845625,167.338,"(0.349176, 0.344543, 0.21713, 0.159762, 0.115873, 0.0878627, 0.0622958)",6.57355,6.44562,"(0.0, 0.0, 72.8127, 424.702, 1041.91, 1584.59, 1951.65)","(0.0, 0.0, 0.0306058, 0.177061, 0.0594685, 0.0330651, 0.00131854)","(0.0, 0.0, 70.267, 417.466, 1016.08, 1590.34, 2067.2)","(0.0, 0.0, 0.0354923, 0.180925, 0.0629766, 0.036664, 0.00159921)",0.844697,6.0,171.384,12.0635,"(0.0, 0.0, 91.3226, 589.994, 1427.96, 2183.58, 3002.27)","(0.124421, 0.124421, 0.170971, 0.20632, 0.0625151, 0.032715, 0.0048862)"
