_RAJ2000_1,_DEJ2000_1,Source,RAJ2000_1,DEJ2000_1,Link,Speak,e_Speak,SpeakTot,e_SpeakTot,Maj,Min,e_Min,DCMaj,DCMin,PA,e_PA,DCPA,Islrms,SCode,Mosaic,Npoint,MaskFract,_RAJ2000_2,_DEJ2000_2,ID,RAJ2000_2,DEJ2000_2,z,IR,WISE,logLIR,e_logLIR,Xray,BAT,logLX,Rad,NVSS,FIRST,Class,logLRad,e_logLRad,Broad,logLBr,e_logLBr,DR15,Sloan,Simbad,NED,recno,Separation
184.5536,44.17341,ILTJ121812.86+441024.2,184.5536,44.17341,https://vo.astron.nl/getproduct/LoTSS-DR2/P20Hetdex17,5.399,0.063,28.56,0.682,16.19,14.1,0.14,15.04,12.76,111.26,3.27,111.26,0.063,M,P20Hetdex17,3,1,184.55356,44.17324,8262-9102  ,184.55356,44.17324,0.024921,0,1,0,0,0,0,0,1,1,1,,43.740322,44.872982,0,0,0,1,Sloan,Simbad,NED,88,0.615699734
182.287,44.00342,ILTJ120908.88+440012.3,182.287,44.00342,https://vo.astron.nl/getproduct/LoTSS-DR2/P20Hetdex17,13.256,0.077,54.105,0.646,14.62,12.55,0.07,13.33,11.03,106.06,1.64,106.06,0.077,M,P20Hetdex17,4,1,182.28673,44.003166,8260-9101  ,182.28673,44.003166,0.037801,1,1,44.39936,43.450386,0,0,0,1,1,1,,44.12804,45.264652,0,0,0,0,Sloan,Simbad,NED,86,1.16294007
114.09638,39.43832,ILTJ073623.13+392617.9,114.09638,39.43832,https://vo.astron.nl/getproduct/LoTSS-DR2/P114+39    ,9.415,0.08,13.945,0.3,7.77,6.21,0.05,4.94,1.6,100.45,1.85,100.45,0.08,M,P114+39    ,3,1,114.09638,39.43828,8135-1902  ,114.09638,39.43828,0.11571,1,1,45.475037,44.53092,0,0,0,0,1,1,,0,0,1,45.27187,5.7875657,1,Sloan,Simbad,NED,58,0.151062012
112.56035,39.53311,ILTJ073014.48+393159.2,112.56035,39.53311,https://vo.astron.nl/getproduct/LoTSS-DR2/P114+39    ,6.942,0.088,23.196,0.433,19.34,6.29,0.05,18.38,1.88,130.71,0.79,130.71,0.088,M,P114+39    ,3,1,112.55991,39.53346,8131-12705 ,112.55991,39.53346,0.141752,0,1,0,0,0,0,0,1,1,1,LERG,45.401463,46.5508,0,0,0,1,Sloan,Simbad,NED,55,1.73771325
130.32007,27.65934,ILTJ084116.82+273933.6,130.32007,27.65934,https://vo.astron.nl/getproduct/LoTSS-DR2/P128+27    ,3.678,0.146,5.423,0.331,7.85,6.77,0.25,5.06,3.13,80.43,12.41,80.43,0.137,S,P128+27    ,1,1,130.3201,27.659315,10498-1902 ,130.3201,27.659315,0.095411,0,1,0,0,0,0,0,1,1,1,LERG,45.100666,46.24703,0,0,0,0,Sloan,Simbad,NED,19,0.132049182
130.15118,27.87677,ILTJ084036.28+275236.3,130.15118,27.87677,https://vo.astron.nl/getproduct/LoTSS-DR2/P128+27    ,8.12,0.126,84.742,2.329,55.72,14.58,0.21,55.4,13.28,11.19,1.27,11.19,0.126,M,P128+27    ,2,1,130.15088,27.87653,10498-3702 ,130.15088,27.87653,0.096883,0,1,0,0,0,0,0,1,1,0,LERG,45.212906,46.360382,0,0,0,0,Sloan,Simbad,NED,20,1.300632273
129.74704,26.13695,ILTJ083859.29+260813.0,129.74704,26.13695,https://vo.astron.nl/getproduct/LoTSS-DR2/P128+27    ,15.347,0.13,30.768,0.883,8.86,7.55,0.07,6.52,4.59,98.05,2.64,98.05,0.13,M,P128+27    ,1,1,129.74702,26.136992,10498-6101 ,129.74702,26.136992,0.050518,1,1,44.698048,43.74907,0,0,0,0,1,1,,0,0,0,0,0,0,Sloan,Simbad,NED,21,0.158907689
129.60028,25.75452,ILTJ083824.07+254516.2,129.60028,25.75452,https://vo.astron.nl/getproduct/LoTSS-DR2/P128+27    ,101.926,0.364,159.666,1.81,9.21,7.33,0.03,6.98,4.22,78.62,0.82,78.62,0.364,M,P128+27    ,1,1,129.60004,25.754501,9507-12704 ,129.60004,25.754501,0.018724,1,1,44.160015,43.211037,0,0,0,1,1,1,,44.542236,45.68303,0,0,0,1,Sloan,Simbad,NED,372,0.794571702
243.57137,30.9994,ILTJ161417.13+305957.8,243.57137,30.9994,https://vo.astron.nl/getproduct/LoTSS-DR2/P243+30    ,10.04,0.088,25.707,0.47,9.79,8.91,0.08,7.74,6.58,108.83,4.35,108.83,0.088,M,P243+30    ,2,1,243.57137,30.999468,9030-9102  ,243.57137,30.999468,0.062075,0,1,0,0,0,0,0,1,1,1,,44.4496,45.589462,0,0,0,0,Sloan,Simbad,NED,280,0.247192383
243.24411,29.55656,ILTJ161258.59+293323.6,243.24411,29.55656,https://vo.astron.nl/getproduct/LoTSS-DR2/P243+30    ,2.757,0.098,7.438,0.35,10.51,9.25,0.32,8.62,7.03,130.29,12.44,130.29,0.092,S,P243+30    ,3,1,243.24413,29.556604,9028-12705 ,243.24413,29.556604,0.061266,1,1,44.290203,43.351074,0,0,0,0,0,0,,0,0,0,0,0,1,Sloan,Simbad,NED,277,0.164998931
